uid,pid_sequence
188,"[102, 843, 102, 843, 102, 102, 102, 843, 102, 843, 843, 102, 102, 843, 102, 843, 843, 102, 102, 843, 1196, 1981, 102, 843, 102, 102, 843, 843, 102, 102, 843, 102, 102, 102, 102, 102, 843, 102, 102, 102, 102, 843, 102, 843, 102, 102, 843, 102, 102, 102, 843, 102, 102, 843, 102, 102, 102, 843, 102, 843, 102, 102, 102, 102, 843, 102, 102, 843, 102, 843, 102, 4499, 843, 102, 102, 102, 843, 102, 102, 843, 102, 843, 102, 102, 102, 843, 102, 843, 102, 102, 102, 102, 2823, 102, 102, 102, 3959, 102, 102, 843, 843, 102, 102, 843, 102, 3596, 3443, 843, 102, 102, 843, 843, 102, 843, 102, 843, 3959, 102, 102, 1737, 3959, 843, 102, 102, 102, 843, 843, 102, 102, 843, 102, 102, 102, 843, 102, 843]"
189,"[270, 849, 270, 849, 270, 270, 270, 849, 849, 270, 270, 1487, 849, 270, 849, 849, 270, 849, 270, 849, 849, 738, 1362, 270, 849, 849, 270, 270, 4075, 141, 4142, 849, 270, 849, 849, 270, 849, 849, 270, 849, 849, 849, 849, 1637, 849, 849, 270, 849, 849, 849, 849, 849, 849, 270, 849, 849, 738, 2700, 849, 270, 849, 849, 270, 849, 849, 849, 849, 849, 849, 849, 270, 849, 849, 1205, 849, 849, 61, 738, 738, 849, 849, 270, 849, 849, 849, 738, 849, 2858, 849, 270, 270, 270, 849]"
190,"[272, 1535, 2061, 272, 272, 1559, 272, 1559, 3827, 1559, 272, 1559, 3027, 324, 272, 3329, 2682, 324, 897, 272, 272, 1559, 897, 2178, 1559, 272, 272, 1559, 272, 324, 272, 1362, 272, 176, 1507, 272, 1559, 102, 1559, 272, 272, 1170, 2178, 1559, 3027, 272, 176, 272, 377, 1559, 272, 2997, 3827, 1559, 4952, 2585, 159]"
191,"[102, 1284, 1671, 1284, 1284, 1096, 102, 1284, 102, 3854, 2432, 102, 1284, 1284, 102, 102, 2432, 102, 2432, 1284, 102, 2432, 1284, 102, 2432, 1284, 102, 3939, 102, 102, 102, 2432, 1284, 102, 2432, 1284, 1284, 102, 503, 102, 2432, 1284, 102, 2432, 102, 2432, 1284, 3939, 102, 2432, 102, 2432, 1284, 3959, 102, 1284, 1284, 102, 2432, 1284, 2432, 1284, 1284, 102, 1284, 102, 1284, 1284, 3959, 102, 2432, 1284, 102, 2432, 1284, 102, 2432, 1284, 102, 2432, 102, 102, 2432, 102, 102, 102, 3568, 1950, 1096, 102, 102, 1284, 1096, 1284, 1096, 1284, 4402, 2432, 312, 1284, 2432, 488, 3959, 1284, 102, 2432, 2432, 3111, 102]"
192,"[275, 1173, 275, 76, 2297, 2239, 159, 275, 3871, 439, 1599, 20, 1531, 3486, 1531, 175, 102, 4059, 3213, 151, 61, 61, 1531, 1531, 2829, 1531, 1531, 1531, 2851, 1531, 1531, 1531, 1687, 1531, 1632]"
193,"[277, 31, 2865, 2865, 277, 3660, 2702, 384, 3183, 1820, 31, 3246, 3246, 3246, 664, 3080, 277, 31, 2702, 277, 2927, 170, 1576, 4289, 2277, 2096, 2005, 2702, 3590, 2865, 2702, 3628, 31, 3891, 277, 3891, 664, 3246, 4368, 2652, 1207, 277, 1077, 3324, 617, 2935, 1982, 277, 1464, 2001, 31, 384, 2927, 2927, 31, 3927, 1876, 277, 277, 1475, 324, 443, 2995, 4923, 1372, 4923, 4923, 3246, 3080, 4923, 2106, 3801, 4855, 762, 4923, 4923, 3286, 494, 4855, 1135, 2702, 4893, 185, 1325, 4923, 4923, 2645, 4923, 1135, 3790, 4923, 332, 31, 4923]"
194,"[278, 460, 278, 1685, 278, 278, 278, 278, 2829, 278, 278, 460, 1188, 278, 278, 278, 3498, 278, 278, 278, 278, 278, 278, 3413, 2694, 278, 278, 278, 2862, 2493, 3752, 278, 278, 278, 1106, 278, 3752, 1863, 3146, 2714, 3752, 278, 3146, 1010, 1863, 3498, 4584, 3498, 3498, 3498, 3498, 3498, 3498, 3498, 278, 278, 278, 1873, 3498, 1814, 3498, 278, 460, 278, 3146, 278, 3850, 1812, 4893, 4584, 278]"
195,"[279, 409, 447, 473, 645, 257, 226, 1231, 1274, 1389, 2505, 409, 447, 257, 473, 279, 2505, 409, 447, 226, 473, 226, 257, 409, 3086, 1389, 1782, 2505, 409, 447, 257, 226, 257, 226, 447, 3443, 279, 2505, 409, 409, 473, 473, 226, 447, 1274, 409, 3086, 1389, 3767, 1782, 155, 2505, 279, 1205, 2505, 447, 257, 2908, 279, 2505, 1274, 2505, 409, 279, 2505, 409, 447, 257, 226, 473, 4034, 1274, 2505, 409, 3086, 1389, 3767, 1782, 409, 2505, 409, 447, 257, 226, 473, 226, 447, 257, 2623, 226, 473, 257, 447, 1274, 2505, 447, 409, 447, 226, 3274, 2876, 155, 409, 3086, 1782, 2505, 1205, 1205, 409, 447, 257, 226, 473, 1274, 409, 447, 257, 226, 473, 226, 447, 409, 3086, 1389, 1782, 3767, 1782, 2505, 257, 409, 2505, 447, 257, 226, 473, 226, 1231, 257, 279, 1274, 155, 447, 257, 226, 473, 447, 2505, 447, 257, 226, 226, 1231, 257, 447, 279, 1231, 1274, 409, 2505, 2505, 2505, 2505, 257, 409, 447, 257, 226, 226, 1231, 257, 447, 409, 3086, 3767, 1782, 2505, 409, 447, 257, 473, 226, 409, 279, 2505, 409, 257, 226, 473, 257, 2505, 409, 257, 257, 447, 447, 409, 3086, 3767, 409, 257, 226, 226, 257, 257, 2505, 1274, 409, 447, 257, 4646, 3086, 1389, 3767, 1782, 1205, 2505, 2505, 409, 447, 257, 226, 257, 2505, 279, 447, 2505, 409, 447, 257, 226, 473, 473, 226, 1274, 2505, 3086, 1389, 3767, 1782, 226, 1231, 447, 409, 409, 447, 226, 4034, 226, 1231, 2505, 226, 1231, 447, 279, 409, 473, 257, 257, 2505, 409, 447, 257, 4646, 257, 2505, 447, 226, 4646, 473, 226, 1231, 447, 3086, 409, 2505, 279, 409, 2505, 409, 2505, 447, 257, 226, 473, 226, 1231, 447, 409, 2505, 447, 257, 226, 473, 257, 2505, 447, 226, 4034, 226, 447, 4646, 2876, 257, 2505, 1389, 3767, 2505, 409, 409, 447, 257, 226, 473, 4034, 226, 1231, 257, 447, 409, 2505, 2505, 409, 226, 473, 2505, 257, 226, 4646, 2505, 257, 3086, 1389, 1782, 447, 257, 226, 4646, 473, 1231, 257, 447, 2505, 409, 447, 226, 2505, 409, 447, 226, 257, 226, 4646, 473, 257, 447, 2505, 1274, 2505, 2505, 1205, 3086, 3767, 1782, 2505, 257, 226, 473, 409, 2505, 447, 257, 4646, 155, 2505, 409, 447, 257, 226, 473, 409, 257, 4646, 2505, 409, 447, 257, 473, 226, 1231, 257, 447, 409, 2505]"
196,"[120, 120, 1106, 1433, 1106, 2261, 1106, 1433, 1106, 1433, 3208, 3222, 3179, 3325, 1106, 1106, 1433, 2261, 1106, 1433, 3869, 3179, 1106, 1433, 2261, 3984, 1106, 1433, 3869, 3179, 1106, 1433, 3869, 3179, 1433, 3272, 1873, 1433, 2261, 2261, 1106, 1433, 1433, 3272, 1106, 2261, 3869, 1433, 2261, 3984, 2261, 1106, 1106, 1433, 3869, 3179, 4519, 2261, 1106, 4519, 2261, 3869, 1106, 1106, 1433, 3984, 3272, 1106, 1106, 1433, 1106, 1433, 3179, 1106, 3869, 3179, 2261, 3984, 3272, 3869, 3179, 1106, 3984, 3272, 1106, 1433, 1106, 3984, 1106, 4202, 3272, 4202, 2261, 1433, 1106, 2261, 3869, 3179, 1106, 1106, 4519, 1106, 2261, 1433, 3869, 3179, 1437, 2261, 3984, 3272, 3869, 20, 3179, 3869, 3869]"
197,"[280, 538, 289, 1392, 538, 538, 1392, 538, 2470, 280, 1385, 2732, 23, 676, 490, 538, 2732, 676, 676, 538, 2491, 538, 538, 3699, 676, 538, 3361, 23, 3462, 676, 538, 538, 538, 538, 280, 289, 91, 538, 538, 2687, 2687, 1392, 2210, 1880, 2687, 2687, 280, 2687, 676, 2687, 1392, 2687, 676, 3041, 2687, 676, 2687, 289, 2687, 1392, 676, 2687, 1392, 2687, 2687, 676, 1392, 2687, 676, 2687, 2687, 676, 676, 1392, 289, 2687, 2687, 1392, 2687, 2687, 2687, 2806, 23, 676, 2687, 2687, 490, 676, 1392, 2687, 676, 2721, 2687, 2687, 2687, 289, 490, 490, 2687, 2687, 676, 490, 2687, 280, 2806, 2687, 2687, 289, 2687, 676, 2687, 66, 280, 2687, 2687, 2687, 676, 676, 438, 2687, 3764, 676, 23, 2687, 2687, 2687, 23, 23, 2687, 2687, 2687, 2687, 2687, 23, 676, 4402, 2687, 151, 676, 676, 438, 2687, 2687, 490, 2687, 2687, 676, 23, 23, 1392, 2687, 2687, 2687, 2687, 280, 2687, 2687, 2687, 490]"
198,"[281, 54, 281, 281, 1864, 281, 527, 281, 176, 2192, 527, 321, 175, 2979, 2192, 1526, 281, 281, 281, 281, 527, 281, 3875, 281, 281, 321, 3947, 175, 2979, 3875, 3157, 321, 2979, 527, 281, 3875, 281, 527, 281, 3875, 281, 3157, 527, 321, 2979, 321, 2361, 281, 2841, 1262, 281, 3875, 281, 3157, 281, 281, 281, 3875, 1980, 3157, 281, 3875, 281, 281, 3875, 281, 281, 3875, 572, 2154, 281, 3875, 2361, 1262, 281, 4147, 281, 3875, 281, 281, 3875, 3157, 1477, 2154, 2725, 3875, 281, 3875, 281, 281, 3875, 281, 3157, 2154, 281, 1262, 3875, 2725, 2725, 2154]"
199,"[283, 459, 971, 1459, 1902, 1986, 151, 2320, 253, 1986, 1197, 2736, 2648, 2198, 2961, 61, 406, 2198, 1986, 3449, 2198, 1986, 2481, 249, 360, 2198, 971, 207, 249, 2430, 3195, 1986, 1986, 1986, 1986, 249, 471, 2198, 2743, 1986, 4457, 4457, 283, 2477, 2198, 541, 1986, 229, 1986, 4059, 4429, 1475, 66, 2198, 66, 1986, 2198]"
200,"[284, 284, 2047, 2480, 1981, 1921, 1925, 406, 406, 3681, 4417, 2451, 284, 284, 324, 284, 3223, 284, 1568, 2047, 284, 1733, 284, 284, 3223, 1576, 1659, 284, 284, 284, 284, 284, 284, 284, 2521, 1968, 2688, 284, 284, 284, 1968, 284, 284, 1039, 284, 3363, 284, 284, 2669, 284]"
201,"[285, 557, 783, 867, 969, 1372, 2075, 783, 867, 969, 1601, 2075, 783, 867, 3019, 783, 867, 2075, 783, 969, 783, 969, 2038, 43, 783, 783, 102, 2749, 2075, 783, 783, 43, 783, 783, 2075, 783, 1372, 1921, 1797, 783, 783, 969, 2862, 2075, 783, 969, 2290, 783, 3729, 969, 43, 783, 969, 783, 1372, 3111, 482, 102, 969, 783, 783, 783, 1372, 334, 783, 2876, 783, 1372, 783, 783, 969, 783, 3729, 1475, 23, 2075, 783, 3199, 969, 783, 783, 783, 783, 3199, 1282, 783, 783, 969, 783, 3329, 3519, 783, 1372, 1743, 783, 969, 783, 969, 783, 1961, 783, 2212, 2728, 1372, 783, 969, 3329, 1282, 783, 1746, 783, 969, 783, 969, 783, 783, 969, 1282, 783, 349, 2336, 4016, 1372, 2149, 2682, 3329, 783, 969, 2290, 969, 1925, 1018, 969, 1372, 4489, 1925, 783, 2834, 783, 1024, 2114, 969, 1372, 969]"
202,"[286, 1915, 1915, 1591, 1183, 286, 1915, 286, 286, 286, 286, 286, 176, 1183, 1183, 286, 286, 1915, 286, 286, 1591, 286, 1915, 286, 1183, 4050, 1591, 343, 286, 286, 1915, 286, 1915, 286, 176, 4050, 286, 343, 286, 176, 1183, 4679, 343, 1183, 176, 159, 1527, 286, 4679, 286, 159, 286, 286, 644, 286, 3285, 286]"
203,"[287, 287, 287, 3030, 3225, 3228, 287, 287, 287, 3225, 3228, 3030, 3225, 3673, 2873, 3079, 3228, 3760, 4457, 1781, 364, 3030, 287, 3030, 18, 3228, 1030, 3228, 287, 3030, 3030, 3228, 1773, 3030, 3228, 3030, 3228, 287, 1773, 3030, 3228, 2478, 3228, 3355, 3228, 3355, 3225, 3030, 3228, 3355, 2890, 3030, 3030, 2990, 3225, 3228, 3030, 3030, 3228, 3355, 3030]"
204,"[288, 1036, 1100, 288, 1512, 1555, 288, 968, 2461, 1036, 2461, 2556, 2795, 2461, 2461, 288, 1750, 2795, 2461, 2461, 2795, 2461, 3071, 2461, 288, 2795, 288, 3325, 61, 61, 897, 2461, 2795, 2461, 3325, 4052, 1036, 2795, 2461, 2461, 2795, 1892, 3599, 692, 175, 4042, 288, 2795, 4052, 3533, 2795, 3325, 4052, 3218, 2795, 2795, 2461, 2795, 2795, 2461, 4052, 1638, 1036, 2461, 1680, 2795, 2795, 2461, 2795, 2461, 1204, 3820, 2795, 2461, 1576, 2795, 4775, 1593, 2795, 2461, 288, 2461, 224, 1659, 3820, 2795, 288, 2461, 3174, 2795, 2795, 1531, 4052, 1923, 2795, 2795, 3820, 1926, 1240, 1892, 3174, 2471]"
205,"[289, 990, 1273, 990, 102, 1445, 2022, 1273, 990, 2022, 2346, 2346, 2619, 2022, 990, 990, 2022, 3177, 2022, 2346, 2022, 2587, 990, 1273, 990, 289, 134, 2022, 990, 2022, 990, 1456, 3692, 2022, 2346, 990, 2669, 2484, 990, 950, 990, 2022, 990, 3797, 1488, 2022, 1520, 1112, 2164, 990, 2022, 2346, 990, 990, 4238, 2047, 293, 289, 1273, 990, 990, 990, 2022, 375, 375, 4407, 2326, 2626, 3218, 3020, 134, 3148, 3312, 175, 559, 249, 3146, 990, 23, 4242, 990, 990, 102, 3077, 2346, 4534, 990, 1912, 1273, 2619, 3148, 134, 4598, 4542, 2119, 3254, 990, 1484, 990, 2346, 4383, 990, 1273, 990, 334, 443, 1912, 990, 1273, 990, 4407, 1273, 990, 456, 4754, 2041, 990, 2346, 1273, 515, 990, 2524, 990, 990, 2346, 990, 2346, 2346, 990, 2484, 771, 990, 990, 990, 990, 2477, 3224, 990, 990, 990, 2119, 3299, 2346, 2346, 1273, 990, 990, 2346, 990, 990, 1776, 2346, 2346, 1273, 990, 36, 1912, 1720, 1671, 990]"
206,"[290, 291, 1741, 290, 1741, 290, 1741, 1741, 290, 1741, 3089, 291, 290, 3000, 3675, 1741, 290, 2379, 1545, 1741, 290, 1741, 290, 291, 1741, 291, 291, 290, 1741, 3681, 291, 291, 3839, 290, 1741, 1741, 291, 1964, 290, 3839, 1741, 291, 3839, 290, 291, 290, 290, 3681, 1741, 1741, 290, 1741, 290, 290, 1741, 1741, 3681, 290, 1741, 416, 1741, 290, 1741, 3467, 151, 3839, 1741, 290, 1741, 4554, 3839, 1741, 1741, 3681, 3681, 290, 1741, 290, 1741, 3681, 290, 290, 1741, 290, 290, 291, 290, 1741, 290, 1741, 290, 290, 291, 290, 1741, 1741, 290, 291, 290, 1741, 1741, 1741, 290, 1741, 1741, 1741, 290, 1741, 1741, 3870, 290, 1741, 1741, 290, 1741, 290, 290, 1741, 290, 290, 1741, 290, 1741, 290]"
207,"[292, 292, 1737, 292, 1600, 292, 1475, 292, 1576, 292, 292, 292, 292, 292, 292, 292, 292, 13, 981, 292, 292, 4307, 292, 292, 292, 256, 292, 292, 62, 292, 256, 13, 981, 4805, 1873, 292, 292, 4123, 3135, 292, 292, 3026, 292, 292, 292, 292, 1537, 292, 3850, 292, 292, 4893, 574, 3482, 292, 1576, 31]"
208,"[293, 2305, 102, 102, 1707, 61, 61, 3277, 2626, 102, 1211, 2305, 1317, 102, 2035, 1197, 3980, 226, 102, 664, 1350, 102, 226, 2335, 226, 1707, 406, 4116, 4116, 4116, 1737, 4116, 1325, 1870, 226, 4168, 2241, 170, 226, 102, 102, 3277, 2053, 170]"
209,"[294, 296, 298, 316, 317, 294, 316, 317, 3405, 294, 296, 316, 317, 3405, 296, 294, 294, 3544, 3405, 316, 3560, 3560, 296, 296, 294, 316, 317, 3405, 294, 296, 2598, 324, 1293, 294, 294, 317, 316, 316, 317, 3560, 296, 294, 317, 3405, 316, 3544, 3544, 317, 316, 3405, 296, 294, 3544, 316, 3405, 3544, 296, 294, 294, 296, 296, 3544, 3544, 3544, 296, 294, 316, 317, 3405, 3544, 3544, 3544, 316, 3405, 317, 294, 3544, 3544, 3544, 294, 296, 3544, 3544, 3544, 317, 294, 296, 317, 316, 3405, 296, 294, 3544, 3544, 3544, 296, 294, 296, 294, 3544, 316, 324, 296, 294, 296, 294, 294, 296, 3544, 3544, 3544, 294, 3405, 317, 3544, 296, 294, 296, 294, 317, 3405, 316, 294, 296, 294, 316, 324, 324, 3560, 249, 324, 324, 317, 2278, 324, 324, 324, 2278, 3981, 1322, 151, 324, 5006, 5010, 5006, 3560, 5006, 5006, 5006, 3560, 5010, 5010, 5010, 5010, 5006, 5006, 3560, 5006, 5010, 5010, 5006, 3560, 5006, 5010, 5006, 5010, 324, 5006, 5010, 5006, 5010, 5006, 5010, 5006, 5006, 5010, 5006, 3981, 5010, 5010, 5006, 5010, 5006]"
210,"[302, 477, 1864, 302, 1295, 2421, 477, 1295, 2421, 477, 477, 477, 477, 3229, 3392, 3392, 477, 2421, 3392, 1295, 2421, 572, 477, 3392, 2421, 477, 3392, 477, 302, 477, 3392, 477, 3392, 477, 3392, 2421, 477, 3158, 3392, 477, 3392, 3392, 302, 2377, 477, 3229, 4109, 3158, 2421, 3392, 3392, 4109, 477, 3392, 1295, 2421, 3392, 2421, 3392, 1295, 2421, 477, 2421, 3158, 3392, 1262, 477, 4440, 1170, 3392, 3158, 477, 2421, 477, 477, 3392, 2421, 3392, 2421, 477, 3392, 2421, 477, 3392, 3392, 477, 3392, 1295, 2421, 3158, 477, 3158, 477, 1295, 169, 3229, 477, 2421, 477, 2421, 3392, 477, 3158, 3392, 3392, 2421, 4109, 3392, 4109, 4109, 3392, 2421, 3392, 4741, 4741, 4109, 2421, 1262, 4741, 1262, 4440, 3392, 4741, 3158, 4741, 3392, 2421, 4741, 302, 2421, 3392, 4741, 3392, 3158, 176, 4109, 3229, 4741, 4440, 2421, 3392, 4440, 3392, 2421, 3392, 1262, 3392, 4741, 3392, 1262, 4741, 4741, 5045, 4440, 1585, 4741, 5048, 4741, 1295, 4741, 1262, 5045, 5045, 3392, 2421, 5068, 5068, 5068, 4440, 3392, 2421, 302, 3158, 5068, 1262, 3392]"
211,"[304, 324, 1289, 2080, 304, 1289, 324, 324, 304, 304, 304, 1289, 3061, 2080, 324, 1289, 304, 2080, 1289, 324, 1289, 1289, 3061, 324, 1289, 324, 1289, 1289, 1289, 324, 1289, 1289, 1289, 324, 2080, 304, 304, 324, 36, 324, 304, 324, 324, 1289, 304, 1585, 1289, 324, 257, 3419, 36, 324, 1289, 304, 1289, 2080, 2080, 304, 2080, 1289, 3061, 1289, 331, 23, 2080, 304, 324, 1289, 304, 2080, 1289, 2080, 324, 1289, 304, 2080, 2080, 4141, 1585, 2080, 304, 324, 1289, 304, 2080, 304, 324, 2080, 2080, 1289, 3061, 324, 304, 2080, 304, 2080, 1289, 304, 304, 324, 1289, 1289, 1289, 304, 2080, 304, 2080, 2080, 304, 1289, 324, 1803, 324, 2080, 2080, 304, 1289, 2080, 304, 324, 1289, 324, 1289, 2080, 2080, 2080, 304, 324, 1289, 2080, 324, 1289, 324, 304, 2080, 1289, 324, 324, 649, 2080, 1289, 2080, 2361, 226, 2091, 1289, 226, 2091, 1289, 226, 1289, 649, 324, 324, 1289]"
212,"[305, 333, 847, 151, 1714, 2811, 2811, 1170, 1639, 3357, 847, 847, 305, 333, 527, 847, 847, 847, 3357, 847, 305, 333, 847, 847, 847, 1639, 305, 333, 527, 2811, 847, 847, 847, 305, 333, 2811, 305, 333, 847, 2811, 3357, 333, 527, 410, 2811, 847, 3191, 2811, 305, 3357, 847, 847, 847, 847, 3276, 3357, 78, 847, 847, 2811, 3357, 847, 847, 847, 2811, 847, 2811, 2811, 2811, 3357, 3357, 847, 847, 380, 2811, 847, 847, 343, 2811, 61, 3658, 61, 325, 2811, 847, 61, 847, 82, 3357, 2811, 325, 2811, 847, 3357, 2811, 847, 847]"
213,"[308, 516, 541, 410, 3410, 3410, 275, 3930, 3410, 309, 3410, 3410, 309, 3410, 3410, 275, 3410, 3410, 3410, 3410, 2888, 1790, 309, 3410, 3410, 3930, 3410, 3930, 494, 832, 3930, 333, 3930, 3930, 1627, 1790, 3018, 2065, 3930, 3930, 4826, 3930, 4826, 3930, 494, 2888, 1690, 4826, 78, 3238, 1690, 4826, 4826, 4826, 1690, 4826, 4826, 4826]"
214,"[310, 385, 574, 310, 151, 312, 1646, 310, 310, 2506, 310, 2506, 378, 2762, 2551, 310, 3390, 2218, 151, 1202, 76, 310, 310, 310, 310, 2506, 2506, 310, 2673, 3881, 310, 3937, 2506, 310, 310, 3881, 4017, 151, 1020, 363, 1670, 2180, 310, 312, 442, 1578, 310, 310, 76, 310, 310, 2506, 442, 312, 310, 151, 76, 310, 310, 310, 310, 3322, 310, 3881, 1578, 2492, 763, 3291, 3462, 1578, 310, 406, 310, 1635, 1385, 310, 574, 234, 3597, 1385, 1578, 1578, 3597, 310, 310, 1578, 310, 1573, 2506, 1041]"
215,"[311, 20, 2386, 1319, 1458, 61, 2386, 2702, 1458, 18, 1198, 3776, 3848, 1458, 1458, 2386, 1736, 1458, 1458, 3296, 3068, 2386, 2386, 1458, 2386, 1671, 1659, 61, 1458, 1458, 1458, 2386, 2386, 2481, 2386, 2386, 61, 2386, 3038, 2386, 3679, 2702, 1820, 1458, 2702, 1923, 1458, 1458, 2386, 4688, 2386, 2386, 1458, 1458, 2386]"
216,"[313, 2050, 313, 844, 3631, 313, 1930, 313, 844, 3915, 844, 313, 313, 3631, 3631, 844, 313, 3631, 3631, 743, 313, 844, 897, 61, 3631, 844, 844, 2051, 2051, 1930, 4607, 3631, 313, 3631, 313, 3489, 3631, 844, 3631, 1948, 4607, 4607, 844, 3845, 3631, 313, 3631, 844, 844, 313, 3915, 2051, 2980, 3631, 844, 844, 3631, 3631, 844, 3631, 3631, 313, 3631]"
217,"[315, 329, 355, 329, 315, 769, 777, 801, 801, 324, 355, 355, 329, 315, 769, 2079, 801, 18, 793, 315, 329, 355, 355, 23, 793, 355, 329, 315, 769, 777, 801, 329, 315, 769, 801, 2624, 355, 329, 2181, 329, 355, 329, 355, 439, 801, 329, 315, 769, 777, 801, 315, 329, 355, 769, 801, 801, 793, 329, 329, 355, 329, 315, 769, 801, 801, 615, 315, 329, 355, 329, 793, 769, 2079, 3244, 315, 329, 355, 329, 315, 315, 801, 315, 329, 329, 315, 769, 801, 355, 329, 315, 801, 315, 355, 329, 315, 769, 801, 329, 315, 329, 329, 769, 801, 324, 355, 329, 315, 801, 315, 355, 329, 315, 769, 801, 615, 355, 329, 315, 769, 315, 2181, 329, 329, 315, 801, 3877, 315, 355, 3184, 329, 355, 329, 801, 355, 329, 315, 777, 801, 18, 315, 355, 329, 3947, 84, 801, 324, 333, 324, 801, 315, 329, 355, 801, 3104, 329, 769, 791, 801, 3244, 329, 355, 355, 355, 329, 1237, 769, 801, 329, 315, 769, 801, 329, 315, 3947, 801, 1237, 329, 329, 793, 801, 18, 315, 329, 355, 329, 315, 777, 2079, 801, 329, 329, 315, 777, 801, 257, 315, 329, 355, 329, 315, 777, 801, 329, 329, 1237, 769, 801, 257, 801, 315, 329, 329, 1237, 329, 315, 1237, 615, 769, 2079, 801, 329, 3436, 329, 769, 2079, 315, 329, 355, 329, 315, 769, 801]"
218,"[23, 23, 690, 23, 23, 1370, 1378, 23, 23, 84, 23, 23, 23, 23, 690, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 690, 23, 23, 26, 23, 23, 23, 84, 3406, 23, 23, 23, 23, 23, 690, 23, 23, 23, 23, 23, 23, 23, 3324, 26, 23, 23, 23, 23, 1370, 23, 611, 23, 23, 23, 23, 23, 23, 23, 23, 23, 4399, 23, 18, 23, 23, 23, 1374, 26, 23, 23, 23, 23, 3832, 26, 23, 23, 23, 23, 23, 23, 23, 23, 18, 23, 23, 23, 18, 23, 23, 23, 26, 23, 23, 23, 1075, 23, 23, 18, 23, 23, 3406, 23, 4242, 23, 3324, 23, 23, 26, 23, 23, 23, 23, 1590, 23, 23, 1378, 23, 1659, 23, 4064, 23, 328, 23, 23, 23, 26, 23, 23, 4064, 23, 1349, 23, 26, 23, 23, 4064, 23, 23, 324, 23, 4064, 23, 23, 23, 23, 4064, 23, 1349, 23, 26, 23, 23, 23, 23, 1659, 23, 23, 4064, 23, 4064, 1370, 1484, 23, 4064, 4064, 23, 4064, 18, 4064, 23, 23, 4064, 23, 18, 23, 3268, 23, 1110, 23, 23, 23, 23, 4064, 23, 23, 4064, 3268, 23, 4064, 23, 23, 4064, 1378, 23, 23, 4064, 23, 4064, 23, 23, 23, 4064, 23, 3406, 23, 4064, 23, 4064, 1012, 23, 23, 4064, 3268, 23, 4064, 23, 23, 23, 4064, 23, 23, 23, 23, 4064, 23, 23, 4064, 23, 23, 23, 4064, 4064, 23, 4064, 23, 23, 4064, 23, 4064, 23, 1378, 23, 23, 23, 23, 23, 1378, 23, 23, 23, 23, 23, 23, 23, 4064, 23, 23]"
219,"[318, 318, 3048, 3473, 3473, 3473, 3473, 3843, 3473, 1018, 3473, 1807, 3473, 3473, 3473, 1018, 3508, 3473, 318, 2851, 3473, 3473, 2489, 1018, 3473, 3473, 3473, 3538, 318, 2539, 318, 318, 318, 3473, 318, 318, 2481, 3048, 318, 1659, 3473, 3473, 2001, 3473, 2001, 1018, 3473, 499, 557, 318, 3473, 318, 3666, 2919, 3048, 3444, 3473, 1018, 3473, 4057, 318, 4893, 4611, 2437, 2933, 3473, 3048, 3473, 3473]"
220,"[319, 319, 1202, 322, 130, 422, 2252, 3409, 1779, 3774, 1731, 256, 84, 3272, 1614, 1576, 2440, 2422, 1475, 2762, 1572, 134, 986, 986, 2481, 2241, 1537, 3361, 130, 986, 130, 986, 76, 986, 319, 4383, 986, 319, 1346, 3068, 4383, 3516, 986, 3361, 2500, 1705, 986, 986, 1712, 1752, 470, 986, 986, 339, 76, 4028, 986, 1346, 3977, 1537, 4264, 3147, 532, 319, 986, 3732, 4090, 986, 470, 1381, 2422, 3104, 986, 986, 406]"
221,"[320, 891, 324, 324, 324, 891, 2476, 324, 891, 2703, 2828, 324, 320, 3135, 3147, 2676, 1787, 324, 891, 3408, 324, 891, 891, 1803, 324, 1576, 324, 891, 2851, 1803, 891, 3763, 324, 1912, 324, 891, 1803, 320, 324, 324, 2621, 891, 891, 3056, 891, 324, 324, 891, 324, 324, 891, 891, 324, 891, 3251, 891, 2621, 2828, 324, 891, 891, 2714, 320, 3447, 891, 891, 891, 320, 3788, 891, 3187, 463, 2676, 3973, 559, 4489, 891, 2621, 891, 1979, 891, 1215, 891, 891, 891, 4006, 324, 891, 891, 891, 3790, 891, 3251, 891, 267, 1787, 891, 267, 891, 4145, 1589, 2326, 3607, 2851, 891, 891, 324, 324, 891, 891, 891, 891, 3408, 891, 1966, 891, 267, 891, 2982, 891, 4154, 1215, 891, 3722, 891, 4014, 267, 891, 891, 1154, 2652, 3512, 891, 891, 324, 2621, 3324, 891, 1012, 320, 267, 324, 891, 1966, 3517, 2564, 1680, 891, 320, 3528, 891, 267, 2925, 2570, 3143, 324, 891, 2621, 891, 1925, 267, 1215, 2217, 2621, 324]"
222,"[322, 503, 1018, 1785, 3788, 3797, 249, 1785, 2395, 1785, 488, 2480, 1750, 1990, 1785, 3194, 151, 2862, 2290, 1750, 1659, 2469, 2481, 2395, 2395, 4611, 3797, 344, 536, 2395, 1785, 3797, 1925, 3213, 1750, 3797, 2280, 474, 1785, 2469, 3670, 1785, 3797, 1785, 1785, 1785, 1785, 2395, 1785, 2280, 102, 1785, 1018, 1771, 1785]"
